Cycle,PID,Star,J-magnitude,Planet,Stellar Radius (Solar Radii),Stellar Mass (Solar Mass),Stellar Teff (K),Distance (pc),Planet Mass (Earth masses),Planet Radius (Earth radii),Planet Teq (K),Planet Period (days),Planet semi-major axis (AU),Observation,Instrument/Mode,Filter,Science Mode,Sub-science theme,Seconds on target,Target multiplier*
1,1194,HR 8799,5.383,HR 8799 b,1.49,1.5,7204.58,41.2441,2000,13,1200,170000,68,2,NIRCam/Coronagraphic,F210M,Direct Imaging,Photometric,1340.6,0
1,1194,HR 8799,5.383,HR 8799 b,1.49,1.5,7204.58,41.2441,2000,13,1200,170000,68,2,NIRCam/Coronagraphic,F460M,Direct Imaging,Photometric,893.7,1
1,1194,HR 8799,5.383,HR 8799 b,1.49,1.5,7204.58,41.2441,2000,13,1200,170000,68,2,NIRCam/Coronagraphic,F210M,Direct Imaging,Photometric,893.7,0
1,1194,HR 8799,5.383,HR 8799 b,1.49,1.5,7204.58,41.2441,2000,13,1200,170000,68,5,NIRCam/Coronagraphic,F250M,Direct Imaging,Photometric,1347.0,1
1,1194,HR 8799,5.383,HR 8799 b,1.49,1.5,7204.58,41.2441,2000,13,1200,170000,68,5,NIRCam/Coronagraphic,F200W,Direct Imaging,Photometric,1347.0,0
1,1194,HR 8799,5.383,HR 8799 b,1.49,1.5,7204.58,41.2441,2000,13,1200,170000,68,5,NIRCam/Coronagraphic,F300M,Direct Imaging,Photometric,1356.8,1
1,1194,HR 8799,5.383,HR 8799 b,1.49,1.5,7204.58,41.2441,2000,13,1200,170000,68,5,NIRCam/Coronagraphic,F200W,Direct Imaging,Photometric,1356.8,0
1,1194,HR 8799,5.383,HR 8799 b,1.49,1.5,7204.58,41.2441,2000,13,1200,170000,68,5,NIRCam/Coronagraphic,F335M,Direct Imaging,Photometric,1340.6,1
1,1194,HR 8799,5.383,HR 8799 b,1.49,1.5,7204.58,41.2441,2000,13,1200,170000,68,5,NIRCam/Coronagraphic,F182M,Direct Imaging,Photometric,1340.6,0
1,1194,HR 8799,5.383,HR 8799 b,1.49,1.5,7204.58,41.2441,2000,13,1200,170000,68,5,NIRCam/Coronagraphic,F410M,Direct Imaging,Photometric,670.3,1
1,1194,HR 8799,5.383,HR 8799 b,1.49,1.5,7204.58,41.2441,2000,13,1200,170000,68,5,NIRCam/Coronagraphic,F182M,Direct Imaging,Photometric,670.3,0
1,1194,HR 8799,5.383,HR 8799 b,1.49,1.5,7204.58,41.2441,2000,13,1200,170000,68,5,NIRCam/Coronagraphic,F430M,Direct Imaging,Photometric,1340.6,1
1,1194,HR 8799,5.383,HR 8799 b,1.49,1.5,7204.58,41.2441,2000,13,1200,170000,68,5,NIRCam/Coronagraphic,F210M,Direct Imaging,Photometric,1340.6,0
1,1194,HR 8799,5.383,HR 8799 b,1.49,1.5,7204.58,41.2441,2000,13,1200,170000,68,5,NIRCam/Coronagraphic,F460M,Direct Imaging,Photometric,893.7,1
1,1194,HR 8799,5.383,HR 8799 b,1.49,1.5,7204.58,41.2441,2000,13,1200,170000,68,5,NIRCam/Coronagraphic,F210M,Direct Imaging,Photometric,893.7,0
1,1194,HR 8799,5.383,HR 8799 b,1.49,1.5,7204.58,41.2441,2000,13,1200,170000,68,6,NIRCam/Coronagraphic,F356W,Direct Imaging,Photometric,454.9,1
1,1194,HR 8799,5.383,HR 8799 b,1.49,1.5,7204.58,41.2441,2000,13,1200,170000,68,6,NIRCam/Coronagraphic,F444W,Direct Imaging,Photometric,936.1,1
1,1194,HR 8799,5.383,HR 8799 b,1.49,1.5,7204.58,41.2441,2000,13,1200,170000,68,7,MIRI/Coronagraphic,F1065C,Direct Imaging,Photometric,1080.5,1
1,1194,HR 8799,5.383,HR 8799 b,1.49,1.5,7204.58,41.2441,2000,13,1200,170000,68,8,MIRI/Coronagraphic,F1140C,Direct Imaging,Photometric,1080.5,1
1,1194,HR 8799,5.383,HR 8799 b,1.49,1.5,7204.58,41.2441,2000,13,1200,170000,68,9,MIRI/Coronagraphic,F1550C,Direct Imaging,Photometric,4322.6,1
1,1194,HR 8799,5.383,HR 8799 b,1.49,1.5,7204.58,41.2441,2000,13,1200,170000,68,10,MIRI/Imaging,F2100W,Direct Imaging,Photometric,1256.8,1
1,1194,HR 8799,5.383,HR 8799 c,1.49,1.5,7204.58,41.2441,3000,13,1200,69000,38,1,NIRCam/Coronagraphic,F356W,Direct Imaging,Photometric,454.9,0
1,1194,HR 8799,5.383,HR 8799 c,1.49,1.5,7204.58,41.2441,3000,13,1200,69000,38,1,NIRCam/Coronagraphic,F444W,Direct Imaging,Photometric,936.1,0
1,1194,HR 8799,5.383,HR 8799 c,1.49,1.5,7204.58,41.2441,3000,13,1200,69000,38,2,NIRCam/Coronagraphic,F250M,Direct Imaging,Photometric,1347.0,0
1,1194,HR 8799,5.383,HR 8799 c,1.49,1.5,7204.58,41.2441,3000,13,1200,69000,38,2,NIRCam/Coronagraphic,F200W,Direct Imaging,Photometric,1347.0,0
1,1194,HR 8799,5.383,HR 8799 c,1.49,1.5,7204.58,41.2441,3000,13,1200,69000,38,2,NIRCam/Coronagraphic,F300M,Direct Imaging,Photometric,1356.8,0
1,1194,HR 8799,5.383,HR 8799 c,1.49,1.5,7204.58,41.2441,3000,13,1200,69000,38,2,NIRCam/Coronagraphic,F200W,Direct Imaging,Photometric,1356.8,0
1,1194,HR 8799,5.383,HR 8799 c,1.49,1.5,7204.58,41.2441,3000,13,1200,69000,38,2,NIRCam/Coronagraphic,F335M,Direct Imaging,Photometric,1340.6,0
1,1194,HR 8799,5.383,HR 8799 c,1.49,1.5,7204.58,41.2441,3000,13,1200,69000,38,2,NIRCam/Coronagraphic,F182M,Direct Imaging,Photometric,1340.6,0
1,1194,HR 8799,5.383,HR 8799 c,1.49,1.5,7204.58,41.2441,3000,13,1200,69000,38,2,NIRCam/Coronagraphic,F410M,Direct Imaging,Photometric,670.3,0
1,1194,HR 8799,5.383,HR 8799 c,1.49,1.5,7204.58,41.2441,3000,13,1200,69000,38,2,NIRCam/Coronagraphic,F182M,Direct Imaging,Photometric,670.3,0
1,1194,HR 8799,5.383,HR 8799 c,1.49,1.5,7204.58,41.2441,3000,13,1200,69000,38,2,NIRCam/Coronagraphic,F430M,Direct Imaging,Photometric,1340.6,0
1,1194,HR 8799,5.383,HR 8799 c,1.49,1.5,7204.58,41.2441,3000,13,1200,69000,38,2,NIRCam/Coronagraphic,F210M,Direct Imaging,Photometric,1340.6,0
1,1194,HR 8799,5.383,HR 8799 c,1.49,1.5,7204.58,41.2441,3000,13,1200,69000,38,2,NIRCam/Coronagraphic,F460M,Direct Imaging,Photometric,893.7,0
1,1194,HR 8799,5.383,HR 8799 c,1.49,1.5,7204.58,41.2441,3000,13,1200,69000,38,2,NIRCam/Coronagraphic,F210M,Direct Imaging,Photometric,893.7,0
1,1194,HR 8799,5.383,HR 8799 c,1.49,1.5,7204.58,41.2441,3000,13,1200,69000,38,5,NIRCam/Coronagraphic,F250M,Direct Imaging,Photometric,1347.0,0
